PARTNER,TYPE,NAME_FIRST,NAMEMIDDLE,NAME_LAST,NAME_LST2,NAME_ORG1,NAME_ORG2,GESCHL,BIRTHDT,IDTYPE,IDNUMBER,RLTYP,ZZ_CATEGORIA,ZZ_AFILIACION,ZZ_ESTADO_AFIL,COUNTRY,REGION,CITY1,STREET,SMTP_ADDR,TELEFONOS,RELACIONES,ZZ_GRUPO_FAM,ZZ_CONSENT_DP,ZZ_CONSENT_COM,ZZ_PREF,ZZ_PREF_EMAIL,ZZ_FALLECIDO,ZZ_TIPO_ORG,CHDAT
0007000001,1,Carlos,,Barrios,Suárez,,,1,19760806,ZCC,936917113,ZAFI,B,AF-000001,A,CO,ANT,05001,Cl. 6ª # 9M-27,carlos.cantillo40@ejemplo.test,3299389598:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000002,1,Julio,Julio,Anaya,Fajardo,,,1,19750303,ZPPT,954881555,ZAFI,B,AF-000002,A,CO,BOG,11001,Av. San Carlos # 4-2 Este,julio.garcía42@ejemplo.test,3232682549:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000003,1,Alberto,Alfredo,Saavedra,Zambrano,,,1,19590825,ZCC,918449411,ZAFI,B,AF-000003,A,CO,VAL,76001,Avenida carrera 168 # 51-69 Sur,alberto.martínez43@ejemplo.test,3362654382:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000004,1,Jorge,Alberto,Barrios,Jaramillo,,,1,19990611,ZCC,991346132,ZAFI,B,AF-000004,A,CO,BOG,11001,Carrera 39 Bis O # 49-3 Sur,jorge.morales44@ejemplo.test,3156612238:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000005,1,Alejandro,,Hernández,Tovar,,,1,19610227,ZCC,920340237,ZAFI,A,AF-000005,A,CO,VAL,76001,Cl. 20 # 2-2,alejandro.melo45@ejemplo.test,3467742475:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000006,1,Jhoana,Maritza,Hernández,Hernández,,,2,19980720,ZCC,988846128,ZAFI,A,AF-000006,A,CO,VAL,76001,Cl. 49 # 39-52 Sur,jhoana.ramírez46@ejemplo.test,3035365162:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000007,1,Sonia,Pilar,Caballero,Guerrero,,,2,19601228,ZPAS,924443198,ZAFI,B,AF-000007,A,CO,VAL,76001,Avenida Caballero # 99M-3 Sur,sonia.sánchez47@ejemplo.test,3026456059:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000008,1,Edwin,,Álvarez,Gutiérrez,,,1,19731126,ZCC,959566988,ZAFI,B,AF-000008,A,CO,CUN,25286,Calle 27 # 6-9,edwin.ardila48@ejemplo.test,3227445404:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000009,1,Edwin,Roberto,Montoya,Riascos,,,1,19970816,ZCC,957895880,ZAFI,B,AF-000009,A,CO,CUN,25286,Calle 170 # 47-29 Este,edwin.giraldo49@ejemplo.test,3310414103:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000010,1,Adrián,Luis,Ocampo,Reyes,,,1,19870216,ZCC,945311457,ZAFI,C,AF-000010,A,CO,ANT,05001,Cr. 161 # 15X-7 Sur,adrián.gil50@ejemplo.test,3034305632:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000011,1,Amalia,,Pedraza,Velásquez,,,2,19931118,ZCC,979664345,ZAFI,A,AF-000011,A,CO,CUN,25754,Transversal 26 # 1-1 Este,amalia.calderón51@ejemplo.test,3420717758:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000012,1,Jorge,,Oviedo,Betancur,,,1,19930103,ZCC,951233887,ZAFI,C,AF-000012,A,CO,CUN,25754,Cl. 2C # 83-7 Este,jorge.rodríguez52@ejemplo.test,3340457442:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000013,1,Alberto,,Torres,Gallego,,,1,19600405,ZCC,993455231,ZAFI,C,AF-000013,A,CO,ANT,05001,Avenida calle 2ª # 15-15 Sur,alberto.ocampo53@ejemplo.test,3081733853:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000014,1,Luz,Patricia,González,Henao,,,2,20031118,ZCC,986492185,ZAFI,C,AF-000014,A,CO,CUN,25754,Cl. 7ª # 1S-30 Este,luz.vásquez54@ejemplo.test,3137344596:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000015,1,Patricia,Rosa,Bedoya,Rojas,,,2,19960524,ZCC,998898216,ZAFI,C,AF-000015,A,CO,CUN,25286,Av. carrera 7ª # 97K-9 Este,patricia.toro55@ejemplo.test,3469813661:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000016,1,Rafael,,Sánchez,Carrillo,,,1,19580130,ZCC,944156626,ZAFI,A,AF-000016,A,CO,BOG,11001,Calle 17 # 28-9 Sur,rafael.rodríguez56@ejemplo.test,3033344311:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000017,1,Isaac,Carlos,Amaya,Agudelo,,,1,19930322,ZCC,932562108,ZAFI,C,AF-000017,A,CO,VAL,76001,Avenida Rodrigo Óscar Castellanos # 74-3,isaac.flórez57@ejemplo.test,3227967789:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000018,1,Didier,Harvey,Arévalo,Palacios,,,1,19610717,ZCC,947361453,ZAFI,C,AF-000018,A,CO,CUN,25286,Calle 76 # 49-50 Sur,didier.santos58@ejemplo.test,3365743837:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000019,1,Pedro,Vicente,Henao,González,,,1,19850127,ZCC,936623245,ZAFI,C,AF-000019,A,CO,ANT,05001,Carrera 79 # 52-16 Sur,pedro.gómez59@ejemplo.test,3437627729:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000020,1,Luis,,Sánchez,Posada,,,1,19510713,ZCC,962229134,ZAFI,A,AF-000020,A,CO,CUN,25286,Carrera 71 Bis # 1-30,luis.garcía60@ejemplo.test,3395941755:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000021,1,José,,Díaz,Guzmán,,,1,19750731,ZCC,930496940,ZAFI,A,AF-000021,A,CO,VAL,76001,Carrera 65 # 61-7 Este,josé.niño61@ejemplo.test,3298156014:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000022,1,Deicy,,Jaramillo,Bustos,,,2,19770517,ZCC,924280139,ZAFI,A,AF-000022,A,CO,BOG,11001,Carrera 1G # 70-41,deicy.monsalve62@ejemplo.test,3322086255:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000023,1,Orlando,,Anaya,Martínez,,,1,19470201,ZCC,957447214,ZAFI,C,AF-000023,A,CO,BOG,11001,Avenida Moreno # 4Y-2,orlando.garcía63@ejemplo.test,3199219402:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000024,1,María,María,Romero,Velásquez,,,2,19700428,ZPAS,940734828,ZAFI,C,AF-000024,A,CO,BOG,11001,Dg. 116 # 5-11 Sur,maría.ochoa64@ejemplo.test,3261127761:TIT:OWN:TIT,,,Y,Y,,,,,20260901
0007000025,1,Luis,Jesús,Torres,Ramírez,,,1,20011101,ZCE,963291989,ZAFI,C,AF-000025,A,CO,CUN,25286,Cr. 3ª # 95-8 Este,luis.barreto66@ejemplo.test,3135181542:TIT:OWN:TIT,,,Y,Y,,,,,20260901
