KUNNR,KTOKD,STKZN,NAME1,NAME2,STCD1,STCD2,GBDAT,LAND1,REGIO,ORT01,STRAS,TELF1,SMTP_ADDR,CTLPC,ZZ_CONTRATOS,ZZ_SERVICIOS,BPROL,ZZ_CATEGORIA,ZZ_BENEFICIARIO_DE,LOEVM,ERDAT,AEDAT
0000300001,ZPER,X,Jorge Alberto,Barrios Jaramillo,,991346132,1999-06-11,CO,BOG,11001,Carrera 39 Bis O # 49-3 Sur,3156612238,JORGE.MORALES44@EJEMPLO.TEST,003,CR-00001:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300002,ZPER,X,Jhoana Maritza,Hernández Hernández,,988846128,1998-07-20,CO,VAL,76001,Cl. 49 # 39-52 Sur,3035365162,JHOANA.RAMÍREZ46@EJEMPLO.TEST,001,CR-00002:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300003,ZPER,X,Edwin Roberto,Montoya Riascos,,957895880,1997-08-16,CO,CUN,25286,Calle 170 # 47-29 Este,3310414103,EDWIN.GIRALDO49@EJEMPLO.TEST,003,CR-00003:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300004,ZPER,X,Adrián Luis,Ocampo Reyes,,945311457,1987-02-16,CO,ANT,05001,Cr. 161 # 15X-7 Sur,3034305632,ADRIÁN.GIL50@EJEMPLO.TEST,002,CR-00004:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300005,ZPER,X,Jorge,Oviedo Betancur,,951233887,1993-01-03,CO,CUN,25754,Cl. 2C # 83-7 Este,3340457442,JORGE.RODRÍGUEZ52@EJEMPLO.TEST,002,CR-00005:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300006,ZPER,X,Didier Harvey,Arévalo Palacios,,947361453,1961-07-17,CO,CUN,25286,Calle 76 # 49-50 Sur,3365743837,DIDIER.SANTOS58@EJEMPLO.TEST,001,CR-00006:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300007,ZPER,X,María María,Romero Velásquez,,940734828,1970-04-28,CO,BOG,11001,Dg. 116 # 5-11 Sur,3261127761,MARÍA.OCHOA64@EJEMPLO.TEST,002,CR-00007:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300008,ZPER,X,Lucy Victoria,Benavides Vargas,,981174622,1955-12-14,CO,BOG,11001,Dg. 11 # 7-4,3477412460,LUCY.SOLANO70@EJEMPLO.TEST,003,CR-00008:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300009,ZPER,X,Yasmín Ligia,Osorio Pérez,,918796357,1996-03-13,CO,VAL,76001,Cl. 46 # 66K-66 Sur,3057219086,YASMÍN.ANAYA73@EJEMPLO.TEST,002,CR-00009:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300010,ZPER,X,Dario,Cuéllar Rueda,,956371647,1950-06-25,CO,BOG,11001,Dg. 20 # 5-67 Este,3435272628,DARIO.BEJARANO74@EJEMPLO.TEST,002,CR-00010:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300011,ZPER,X,Isabel Martha,López Camacho,,989277626,1949-09-24,CO,CUN,25754,Diagonal 96 # 7-29,3190226834,ISABEL.ORTIZ79@EJEMPLO.TEST,001,CR-00011:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300012,ZPER,X,Alejandro Daniel,Vásquez Herrera,,929225726,1993-05-02,CO,CUN,25754,Calle 81 # 30-27 Este,3364496551,ALEJANDRO.ORTEGA80@EJEMPLO.TEST,002,CR-00012:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300013,ZPER,X,Christian,Espitia Castro,,918091439,1953-08-09,CO,BOG,11001,Av. Jorge Alfonso Rojas Cárdenas # 5-72 Sur,3218143013,CHRISTIAN.BERMÚDEZ82@EJEMPLO.TEST,002,CR-00013:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300014,ZPER,X,Sandra,Rojas Zuluaga,,987844735,2003-08-26,CO,CUN,25754,Carrera 34R Bis U # 66-20 Sur,3013404301,SANDRA.RAMÍREZ86@EJEMPLO.TEST,001,CR-00014:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300015,ZPER,X,Alonso Eduardo,González Ramírez,,967923589,1987-03-22,CO,CUN,25754,Cl. 110 Bis O # 53-2 Este,3094165212,ALONSO.MARÍN92@EJEMPLO.TEST,003,CR-00015:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300016,ZPER,X,Andrés,Márquez Suárez,,995819304,1973-01-30,CO,ANT,05001,Calle 179Y # 56-3 Este,3426124505,ANDRÉS.DÍAZ93@EJEMPLO.TEST,003,CR-00016:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300017,ZPER,X,Juan César,Patiño Díaz,,967245672,1967-05-03,CO,VAL,76001,Cr. 2ª # 72E-57 Sur,3334620271,JUAN.NARVÁEZ94@EJEMPLO.TEST,002,CR-00017:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300018,ZPER,X,Yamile,Melo Córdoba,,915451528,1996-03-12,CO,BOG,11001,Carrera 124 # 20-3 Este,3113240972,YAMILE.PÉREZ96@EJEMPLO.TEST,002,CR-00018:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300019,ZPER,X,Cecilia Juana,Caicedo Arboleda,,986536056,1995-03-28,CO,CUN,25754,Avenida Pinillos # 4R-19,3249618997,CECILIA.ARIAS98@EJEMPLO.TEST,002,CR-00019:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300020,ZPER,X,Cecilia Inés,Contreras Mosquera,,980528104,1965-01-07,CO,VAL,76001,Calle 88 # 92-8 Este,3361572867,CECILIA.ACOSTA109@EJEMPLO.TEST,001,CR-00020:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300021,ZPER,X,José Gilberto,Ocampo Toro,,963100070,1979-01-04,CO,VAL,76001,Carrera 132 # 23-23,3010247085,JOSÉ.RUIZ111@EJEMPLO.TEST,001,CR-00021:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300022,ZPER,X,Iván Carlos,Serrano Medina,,983094344,1972-09-09,CO,BOG,11001,Cl. 84 # 36-5,3373421363,IVÁN.LARA114@EJEMPLO.TEST,001,CR-00022:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300023,ZPER,X,Adolfo,Cruz Giraldo,,995754974,1954-05-30,CO,CUN,25286,Cr. 43Y # 89-20 Este,3366113075,ADOLFO.CALDERÓN117@EJEMPLO.TEST,002,CR-00023:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300024,ZPER,X,Dayana,García Orozco,,917817503,1962-04-12,CO,CUN,25286,Cr. 75 # 36-21 Sur,3063525760,DAYANA.OSPINA118@EJEMPLO.TEST,002,CR-00024:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300025,ZPER,X,Adolfo Luis,Gómez Sánchez,,915063987,1999-08-19,CO,VAL,76001,Tr. 90 Bis # 3-28 Sur,3484672634,ADOLFO.BEDOYA120@EJEMPLO.TEST,003,CR-00025:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300026,ZPER,X,Alfredo,Bohórquez Díaz,,974995556,1956-08-12,CO,CUN,25754,Cr. 68 # 81-9,3447507571,ALFREDO.MEDINA121@EJEMPLO.TEST,003,CR-00026:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300027,ZPER,X,Patricia,Álvarez Olaya,,970194250,1958-09-28,CO,CUN,25754,Avenida calle 46 # 68-7,3460631656,PATRICIA.VARGAS122@EJEMPLO.TEST,003,CR-00027:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300028,ZPER,X,Libia,Vergara Ramírez,,925364807,1978-03-05,CO,ANT,05001,Calle 166D # 6-29,3365859326,LIBIA.QUINTERO123@EJEMPLO.TEST,003,CR-00028:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300029,ZPER,X,Carlos Elkin,Castañeda Rincón,,943030012,1985-11-03,CO,CUN,25286,Calle 164Q # 9-73 Sur,3286326557,CARLOS.JIMÉNEZ125@EJEMPLO.TEST,001,CR-00029:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300030,ZPER,X,Teresa Isabel,Marín Bastidas,,971802857,2007-10-09,CO,CUN,25754,Cr. 3ª # 93-4,3292622333,TERESA.VELÁSQUEZ126@EJEMPLO.TEST,003,CR-00030:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300031,ZPER,X,José,Gonzáles Molina,,921744097,1973-01-09,CO,BOG,11001,Av. calle 2ª # 35H-7 Este,3243900748,JOSÉ.CASTRO127@EJEMPLO.TEST,001,CR-00031:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300032,ZPER,X,Karen,Reyes Quintero,,960712806,1956-12-25,CO,VAL,76001,Calle 196 # 67-1 Sur,3040971587,KAREN.MUÑOZ128@EJEMPLO.TEST,002,CR-00032:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300033,ZPER,X,Nelly,Rojas Zambrano,,963687546,2002-01-25,CO,VAL,76001,Carrera 5S Bis N # 80O-3,3174937242,NELLY.SÁNCHEZ130@EJEMPLO.TEST,003,CR-00033:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300034,ZPER,X,Paola,Sánchez Rincón,,938819809,1952-05-11,CO,ANT,05001,Cr. 126 # 30O-60 Este,3271071198,PAOLA.SUÁREZ133@EJEMPLO.TEST,003,CR-00034:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300035,ZPER,X,Lina Esther,Chávez Flórez,,966630588,1986-10-27,CO,CUN,25286,Tr. 9ª # 33X-1 Este,3324458432,LINA.SILVA135@EJEMPLO.TEST,003,CR-00035:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300036,ZPER,X,Samir Mauricio,Díaz Vallejo,,982194037,1983-12-22,CO,CUN,25754,Diagonal 6U Bis U # 5-1 Este,3395644640,SAMIR.MORALES140@EJEMPLO.TEST,001,CR-00036:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300037,ZPER,X,Rafael Jefferson,Mesa González,,944204679,1964-01-09,CO,CUN,25286,Cr. 2ª # 4-45 Sur,3086900707,RAFAEL.BRAVO143@EJEMPLO.TEST,003,CR-00037:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300038,ZPER,X,Mauricio,García López,,921273840,2003-12-24,CO,VAL,76001,Diagonal 55 # 28C-30 Sur,3088293802,MAURICIO.MEJÍA144@EJEMPLO.TEST,001,CR-00038:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300039,ZPER,X,Ruth,Peña Ramírez,,935344342,1966-09-05,CO,CUN,25286,Avenida carrera 8ª # 9-50 Sur,3082110647,RUTH.ARDILA146@EJEMPLO.TEST,002,CR-00039:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300040,ZPER,X,Diego Edwin,Rodríguez García,,961431858,1962-04-27,CO,BOG,11001,Calle 48 # 3-12 Sur,3037165873,DIEGO.SALCEDO149@EJEMPLO.TEST,003,CR-00040:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300041,ZPER,X,María,Ávila Ávila,,983551473,1942-06-30,CO,ANT,05001,Cr. 5Z # 50-41 Este,3162654753,MARÍA.MORENO153@EJEMPLO.TEST,003,CR-00041:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300042,ZPER,X,Ernesto,González Guerrero,,967336736,1997-05-22,CO,CUN,25754,Calle 182 # 2-5,3257377906,ERNESTO.MEJÍA154@EJEMPLO.TEST,001,CR-00042:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300043,ZPER,X,Luis Orlando,Trujillo Estrada,,982920366,2007-08-14,CO,ANT,05001,Tr. 170 # 15-4,3495108764,LUIS.CASTAÑO157@EJEMPLO.TEST,002,CR-00043:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300044,ZPER,X,Jhoan Andrés,Rivera Sánchez,,987780195,1966-08-16,CO,VAL,76001,Tr. 199 # 40-43 Sur,3110144874,JHOAN.OCAMPO160@EJEMPLO.TEST,003,CR-00044:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300045,ZPER,X,Matilde Lizeth,Rincón Barragán,,959709457,1961-12-21,CO,CUN,25286,Cr. 87 # 6-23 Sur,3483983588,MATILDE.VALDERRAMA165@EJEMPLO.TEST,002,CR-00045:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300046,ZPER,X,Omar,Amaya Serrano,,990037227,1980-10-29,CO,ANT,05001,Av. carrera 94 # 6-5 Sur,3477009281,OMAR.ARIZA168@EJEMPLO.TEST,001,CR-00046:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300047,ZPER,X,Víctor Juan,Pérez Ruiz,,958842171,2003-11-01,CO,CUN,25754,Tr. 5ª # 3-64 Este,3465519821,VÍCTOR.MARTÍNEZ177@EJEMPLO.TEST,001,CR-00047:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300048,ZPER,X,Paola Gloria,Peña Gaviria,,970402733,1960-06-09,CO,VAL,76001,Av. calle 174 # 3-41,3426996190,PAOLA.NARVÁEZ178@EJEMPLO.TEST,001,CR-00048:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300049,ZPER,X,Eduardo,Parra González,,969630509,1991-10-07,CO,VAL,76001,Carrera 69M Sur # 3C-48,3065624758,EDUARDO.MONTOYA182@EJEMPLO.TEST,003,CR-00049:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300050,ZPER,X,Angie,Londoño Becerra,,982291656,1949-01-12,CO,CUN,25286,Av. calle 1ª # 4-35 Este,3098481316,ANGIE.RUBIO183@EJEMPLO.TEST,001,CR-00050:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
0000300051,ZPER,X,Daniela Sofía,Bustamante Castillo,,999184369,2003-12-15,CO,BOG,11001,Cl. 2V # 89-5 Sur,3343456589,DANIELA.ORJUELA185@EJEMPLO.TEST,003,CR-00051:ZCRE:A,,ZAFI,,,,2024-03-01,2026-09-01
